code_cepidc,n_formulations_perdues,exemples_formulations
R58.09,528,accident hémorragique | accidents hémorragiques parties molles | bulle hémorragique | choc hémorragique abdominal | choc hémorragique intra-abdominal
I63.59,477,AIC | AIC hémisphère | AIC occipital | AIC protubérantiel bilatéral | AIC sylvien
I21.99,411,IDM | IDM aigu | IDM aigu bitronculaire | IDM asymptomatique | IDM bas bruit
I61.19,365,AVC fronto-pariétal hémorragique | AVC hémorragique basi-temporal | AVC hémorragique bi-frontal | AVC hémorragique bi-pariétal | AVC hémorragique bi-temporal
K55.09,349,accident ischémique digestif | accident ischémique intestinal | accident ischémique mésentérique | accident vasculaire ischémique mésentérique | accident vasculaire mésentérique
I64.09,346,AVC | AVC ACA | AVC ACM | AVC Broca | AVC PICA
I61.99,211,AV cérébelleux hémorragique | AVC centro-hémisphérique hémorragique | AVC hémisphérique hémorragique | AVC hémorragique | AVC hémorragique bilatéral
R99.9,207,AJ | ALD | B 7 seul | B7 seul | CMJ
I63.29,201,AVC ischémique artère vertébrale | IVB | TEA carotide | TEA carotide interne | accident carotidien ischémique
I69.39,183,AVC ischémique ancien | AVC ischémique antérieur | AVC ischémique capsulo-thalamique ancien | AVC ischémique cérébral antérieur | AVC ischémique sylvien ancien
I69.49,169,AVC ancien | AVC ancien séquellaire | AVC antérieur | AVC avec récupération | AVC controlatéral séquellaire
I63.50,161,AIC multiples | AVC antérieurs ischémiques | AVC bi-frontal ischémique | AVC bihémisphérique ischémique | AVC bilatéraux ischémiques
J98.40,160,adhérences pulmonaires | affection broncho-pulmonaire | affection pulmonaire | affection pulmonaire aigüe | affection pulmonaire maligne
I69.19,138,AVC hémorragique ancien | HSD ancien | antécédent AVC hémorragique | antécédent AVC hémorragique capsulo-thalamique | antécédent AVC hémorragique cérébelleux
I61.59,131,AVC hémorragique corne frontale | AVC hémorragique quadri-ventriculaire | AVC hémorragique quatrième ventricule | AVC hémorragique tétra-ventriculaire | AVC hémorragique ventriculaire
I61.09,127,AVC capsulo-lenticulaire hémorragique | AVC capsulo-thalamique hémorragique | AVC hémorragique capsulaire | AVC hémorragique capsule interne | AVC hémorragique capsulo-lenticulaire
K72.99,127,IHC | IHC terminale | aggravation fonction hépatique | altération fonction hépatique | altération fonctions hépatiques
R97,123,Institut médico-légal | absence cause décès | absence pathologie | affection morbide indéterminée | analyses en cours
I63.99,98,accident anoxo-ischémique | accident ischémique cérébral | encéphalopathie ischémique aigüe | infarcissement cérébral | infarcissement cérébral artériel
G12.29,96,Charcot | SLA | SLA atypique | SLA axonale | SLA bulbaire
I42.09,95,CMD | CMD coronaires saines | CMD hypokinétique | CMNO dilatée | CMNO dilatée chronique
K63.19,95,anses grêle préperforatives | déchirure paroi intestinale | fissuration caecum | fissuration colique | fissuration intestin grêle
I64.00,92,AVC 2 hémisphères | AVC bi-frontal | AVC bi-hémisphérique | AVC bi-occipital | AVC bi-pariéto-occipital
I63.49,82,AVC cérébelleux embolique | AVC emboligène | AVC embolique | AVC embolique hémisphérique | AVC embolique itératif
I61.89,75,AVC bi-occipital hémorragique | AVC hémorragique cérébro-méningé | AVC hémorragique fosse cérébrale postérieure | AVC hémorragique fosse postérieure | AVC hémorragique occipital
