code,libelle_officiel,chapitre,forme_rendue,forme_source,source,signal,proposition,motif,version_regle
A18.4,Tuberculose de la peau et du tissu cellulaire souscutané,I,abcès scrofuleux,"Abcès (embolique) (infectieux) (multiple) (pyogène) (septique) (de), scrofuleux",CIM-10 index,sonde:scrofule+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
A18.4,Tuberculose de la peau et du tissu cellulaire souscutané,I,lichen scrofulosorum,"Lichen, scrofulosorum (primaire)",CIM-10 index,sonde:scrofule+isolement,garder,lichen scrofulosorum : dénomination vivante (tuberculide),v1
A18.4,Tuberculose de la peau et du tissu cellulaire souscutané,I,ulcère scrofuleux,"Ulcère (à) (de), scrofuleux (tuberculeux)",CIM-10 index,sonde:scrofule+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
A36.0,Diphtérie pharyngée,I,croup,Croup (canada j05.0),CIM-10 index,sonde:croup+isolement,garder,"croup : terme officiel vivant (J05.0, diphtérie A36)",v1
A36.0,Diphtérie pharyngée,I,croup diphtérique,"Croup (canada j05.0), diphtérique",CIM-10 index,sonde:croup+isolement,garder,"croup : terme officiel vivant (J05.0, diphtérie A36)",v1
A36.0,Diphtérie pharyngée,I,croup,croup,CepiDc 2015,sonde:croup+isolement,garder,"croup : terme officiel vivant (J05.0, diphtérie A36)",v1
A50.4,Syphilis congénitale nerveuse tardive [neurosyphilis juvénile],I,tabès juvénile,"Tabès (cérébrospinal) (dorsal) (latent) (spasmodique), juvénile",CIM-10 index,sonde:tabès+isolement,garder,"tabès : terminologie officielle vivante (A52.1, G95)",v1
A52.1,Syphilis nerveuse symptomatique,I,paralysie générale,"Paralysie (de), générale (syphilitique)",CIM-10 index,sonde:paralysie générale+isolement,garder,"paralysie générale : dénomination encore en usage (neurosyphilis, A52.1)",v1
A52.1,Syphilis nerveuse symptomatique,I,tabès,Tabès (cérébrospinal) (dorsal) (latent) (spasmodique),CIM-10 index,sonde:tabès+isolement,garder,"tabès : terminologie officielle vivante (A52.1, G95)",v1
A52.1,Syphilis nerveuse symptomatique,I,tabès avec arthropathie,"Tabès (cérébrospinal) (dorsal) (latent) (spasmodique), avec arthropathie",CIM-10 index,sonde:tabès+isolement,garder,"tabès : terminologie officielle vivante (A52.1, G95)",v1
